Implied_Forward
4018.25
4018.73
4019.22
4019.7
4020.42
4020.65
4020.96
4021.39
4021.85
4023.12
4023.43
4023.77
4024.18
4024.42
4024.95
4024.68
4024.56
4024.87
4025.24
4026.78
4027.66
4028.69
4030.02
4035.04
4040.37
4049.62
4052.31
4059.23
4063.03
4070.28
4076.82
4086.01
4096.38
4106.94
4113.59
4123.01
4132.71
4142.84
4150.07
4159.7
4168.67
4175.23
4206.18
4249.04
4330.34
4411.05
4501.12
4504.87
4599.82
4699.51
4803.62
4914.61
5031.77
