Date,Spot
23/01/2023,4019.81
24/01/2023,4016.95
25/01/2023,4016.22
26/01/2023,4060.43
27/01/2023,4070.56
30/01/2023,4017.77
06/02/2023,4111.08
14/02/2023,4137.29
21/02/2023,3997.34
27/02/2023,3982.24
06/03/2023,4048.42
13/03/2023,3855.76
20/03/2023,3951.57
25/04/2023,4071.63
