TIME_MONTHS,BID,ASK
1,19.32,19.55
2,20.58,20.73
3,20.93,21.1
4,21.41,21.59
5,21.89,22.06
6,22.11,22.28
9,22.9,23.08
12,22.93,23.14
18,23.49,23.72
24,24.01,24.41
