rho,eta
-0.8546830061439582,2.1253944295351705
-0.8284967853585326,2.104918666296581
-0.8101092089575431,1.9672767476292272
-0.9279408603283921,1.9563803609212027
-0.913545079530583,2.368431801159733
-0.9873282516850538,2.1945268059459515
-0.7166602922159746,2.192425932416609
-0.9259446724450952,2.0729672588038395
-0.8537879066638381,1.931273857923322
-0.7455211579245683,2.0445979997125296
-0.9359026168779067,2.4459526606709208
-0.9937266477735018,1.9696198321873954
-0.883742521290644,2.1732854780731046
-0.8990421847109231,2.184771825547313
-0.8501432047991048,2.141354583059223
-0.9399846655103061,2.235507649488248
-0.9960306841554439,1.97415681149938
-0.8922027654461809,2.1440774125348225
-0.8184473378535471,2.11602052092458
-0.7997850882885549,2.215699169271967
-0.9907420574674536,2.2679774852900723
-0.9628583028638464,2.1543435358390046
-0.9692878307027938,2.1613246007958766
-0.8936531789587371,1.9323034462460817
-0.9026652991521512,1.8715030105470098
-0.8421660664874905,2.317524938250227
-0.9868243405594022,2.1846506861983004
-0.9821262869867201,1.8209085165410763
-0.8316207449083038,2.1970994824640218
-0.9883754488080244,1.9111723815030295
-0.9880211204694613,1.7710236809125584
-0.9294791856455497,1.7280334632924974
-0.8577552309034304,1.9615984572328045
-0.8483925277053306,2.1083813780811385
-0.7724376078993108,2.040690524806798
-0.8238076241132964,2.231412480168882
-0.9540113186087273,1.974816015171656
-0.9626521334961636,2.057769607672813
-0.9400588126811821,2.3664416112355164
-0.7417171228830937,2.0747606851700513
-0.739815725024749,2.242073053345981
-0.9053674084734908,2.039496176227647
-0.9339121280697993,2.203489240020557
-0.8185859928020759,2.263443988048174
-0.9342449658862977,2.0323165639018397
-0.977483782505231,2.006244296046205
-0.8208688805238308,2.223781679342856
-0.9926336458811675,2.050142965830569
-0.9645470947229984,2.092133179811175
-0.9321927671289076,2.0970517178850394
-0.9566568582584354,2.213654297820885
-0.8719405992635747,2.359138750854645
-0.9174192826985706,2.065813513822916
-0.9702309509493605,1.994933657660265
-0.9451093704589356,2.2355972040901673
-0.9398649981367836,2.2296265439305296
-0.925093248078607,2.0799791125601335
-0.9889828794315696,2.1283321062849034
-0.8629207340154758,2.2329901130205148
-0.9610005104216756,2.2847165285045836
-0.9176682736261186,1.942954908128613
-0.8155837486348559,2.1815285679627427
-0.8973968293445521,2.1359933589622644
-0.7378035031638008,1.9375653738845233
-0.8180479489378268,2.2095842672348853
