H,eta,rho
0.09822464734127345,1.9000000988851196,-0.9000000036471159
0.1,1.9,-0.9
0.043538810590060914,2.2185620996085964,-0.8224029878761591
0.05226710156188666,2.113449045812954,-0.8070688060049973
0.06392022534547655,2.10720803041301,-0.8140725451161233
0.07080046404378078,2.111779225636645,-0.8010826800748211
0.08227310822786012,2.019405802156486,-0.8129151779869235
0.08515855430239673,2.0048352406366394,-0.8096166277713368
0.07398839497564888,1.9872198664096992,-0.8540455611597907
0.08128992917012069,1.9926491497276047,-0.8628659056252233
0.08106522223012706,1.918912009192874,-0.892305504722527
0.09124581485369317,1.8894669272801565,-0.8840648211765042
0.09291760035541671,1.8719541101622348,-0.9024281347032859
0.09125762392847991,1.8478468570970719,-0.9062073576764494
0.08884441785309338,1.7986253010779476,-0.9178357527481451
0.08433746263004692,1.824378236887337,-0.9506765691184957
0.08476841572360236,1.794936729734268,-0.9634110423437168
0.08869055301465538,1.8861585320798215,-0.9208335000928536
0.0958434785574619,1.7628364077025231,-0.9367650536123957
0.09973518883591274,1.7661333716027348,-0.9272686260649542
0.09268995134034978,1.8633799624296343,-0.9149902878965125
0.09132655371851141,1.7644506770101116,-0.9292738311128611
0.08554805752667304,1.6255959727518576,-0.964933551775118
0.07631817409124099,1.425141931456671,-0.9950192349112758
0.06560941948254215,1.503186674987901,-0.9938048642005485
0.07003661637289928,1.4775526405346724,-0.9058171882111594
0.060313515561852306,1.55724166616088,-0.879965830603776
0.05766729169415316,1.4917770728412925,-0.9823768198108135
0.05106522971909641,1.4001880736095433,-0.9827753759876754
0.052752775150038365,1.2630772442134184,-0.9625772519251777
0.04665710231290039,1.3096208911218532,-0.9987547133680188
0.04661593459269217,1.4196672360683433,-0.957535799171515
