H,eta,rho
0.027863789541303925,1.9077020979227717,-0.8582831707937345
0.03277081559384385,2.0162106595959988,-0.8441338980036379
0.05240843784477148,2.37246391114732,-0.8391305137450472
0.05494866891748589,2.1534492183544756,-0.8133821540959637
0.06471925678253594,2.1698001727180296,-0.8088480277945385
0.07043040838284653,2.122690025512196,-0.8050798254571888
0.07287659428998439,2.0363504583107503,-0.8363887714079603
0.07250436656292981,2.0492211030052028,-0.8583372259657539
0.07766361777712726,1.9589216303798256,-0.851537153832221
0.09188622647696597,1.934682763706351,-0.8413545766934118
0.08516957778549408,1.951848937420765,-0.8778505373667367
0.07858975896702594,1.925927863830957,-0.9118790684104855
0.09071109417813121,1.88780436497962,-0.8904844398240334
0.0896361344278186,1.9304146571354999,-0.8979439676423915
0.09377707334551917,1.8135420280294583,-0.9065312921759003
0.09405486322450826,1.8345743905873997,-0.9152533248368151
0.0866210392112291,1.8081823699166841,-0.9433399461019856
0.08992222329565559,1.8310377435328327,-0.912882316661626
0.08881515205477435,1.7579073064916046,-0.983574693983295
0.09243348444447436,1.743845582999001,-0.9548432153346642
0.09387340516670829,1.8033095882851464,-0.9437432847438277
0.08867256230041785,1.8035501533776888,-0.9040336143433629
0.09791728584078911,1.5039213054443155,-0.9610877503551476
0.07405976784895504,1.4434499287026628,-0.997452323933177
0.05314290838490653,1.5901500362390808,-0.993874468184816
0.057424781193184324,1.307153497669702,-0.915338606235233
0.05534593118837191,1.347750735433295,-0.9974999821120598
0.04201847620999899,1.3319320070504883,-0.9989999899431564
0.03159759839293911,1.3907211607636127,-0.988095265267134
0.0774384976097717,1.1558544498429362,-0.839032557712521
0.04753713736898313,1.4064578581221872,-0.8483091058314588
0.05616431537164259,1.5463909696459688,-0.8583621992466507
