rho,H,eta
-0.6820607843326668,0.1415507937369332,1.9301791208977108
-0.7893465767028588,0.43518073147236597,2.0830765178259045
-0.9798059490728118,0.08125510161653055,1.676888090531859
-0.9851251417927226,0.1184155080354452,1.678445645552636
-0.9272714599898471,0.12311122215674071,1.7986264187776564
-0.9752060178902353,0.09392350872806966,2.0762614791146254
-0.8141239750153478,0.4457914371954848,1.9281620369575403
-0.9458869686698099,0.10876809417579283,1.7336134540231343
-0.9842618544643176,0.1009861609934909,1.7055901935249043
-0.6573559126600612,0.31843394059519115,2.0635716069685914
-0.8069103806259293,0.12767894141113031,1.6703816903332434
-0.8018191420774837,0.09959283949841329,1.9751342974005515
-0.7440555427557202,0.3535990868149876,1.9194448191986742
-0.7345425181639527,0.43436204055794136,2.285992869442282
-0.8284643916090659,0.4272685330784464,1.8936971470278876
-0.8965489578499589,0.2982925777302735,1.8811774523010754
-0.6883130697447905,0.1645482673177193,1.7745645050347278
-0.7368658516899449,0.16334180804851176,1.9215292085879967
-0.7243008654038253,0.12181242220829157,1.8404197239635345
-0.9704591506411014,0.18094494925270677,1.497560691014796
-0.8316302015148908,0.17409117019896,1.986524624475193
-0.7105193968223456,0.12600924524133447,1.8480997001872672
-0.8444633958120783,0.42509398323370884,2.160127183776738
-0.8378067041042716,0.06464569528877133,2.235549405946686
-0.93193370717476,0.1687176513859846,1.5656447608836823
-0.8394206164270767,0.12550192398394835,1.7327968933393376
-0.8626361533853053,0.4028012805020438,2.082582634175716
-0.9682686603057862,0.044701323429897105,2.138226785011805
-0.9682686603057862,0.044701323429897105,2.138226785011805
-0.9051684233365785,0.3103661796488941,1.8132446848381298
-0.9219933912925182,0.14698185696560384,1.25016752212138
-0.7584117213074644,0.06255414514282108,2.235106159019615
-0.8996569361462692,0.08303264817314716,1.9408783681306034
-0.9059379765055022,0.1347378654096611,1.51045842912302
-0.8150986466027034,0.11016369932217017,1.809507467463611
-0.8774387635844668,0.05801191171963098,2.1230752820619214
