rho,eta
-0.7752680610951502,2.255212248240332
-0.724384067757088,2.2410179144426743
-0.9128411452655398,1.9919861076169287
-0.9790204263636276,1.8667363052879236
-0.9508636774937119,1.914712671501388
-0.9608033109603816,2.032052111992233
-0.9520517292295047,1.7984261167384195
-0.9257548411004206,1.9130556642406293
-0.9016064096963968,1.894683741120139
-0.9523189291571675,2.0809713332514406
-0.8884628338588177,1.9060929195600593
-0.9864098936240149,2.005476674342858
-0.97628513521463,2.249317780628781
-0.9826519588072536,2.0518000863927113
-0.9952021369201929,1.8970596611334745
-0.9764385622672284,1.9496314450497096
-0.9847317564069662,2.2149259177859864
-0.9111879019139317,1.973983472001993
-0.8934752073120602,2.5042924862488363
-0.937081135352101,2.0363402970839504
-0.8975595690064573,2.0784909653761994
-0.8241660743922521,2.322339104183047
-0.9332909732318913,2.394572551478314
-0.919322637401673,2.0522625360234477
-0.9383329490847143,2.143591351924422
-0.9291059746993403,2.081188447718104
-0.9842162044066755,1.726175967877428
-0.9395230348231238,2.2895170713584987
-0.9469291189792749,1.9394713986225471
-0.9219975176866343,1.9679983212946142
-0.9083685441763123,2.1340523543364855
-0.8849119895854458,2.059620642700966
-0.8412395614561,2.3971186409171072
-0.8878549291442089,2.1036599456701706
-0.9704741399222077,2.029191371751997
-0.9467945415444264,2.016404491228269
-0.9239467240687631,2.0396916917447987
-0.9926079443449769,2.107711192110678
-0.8766798746523538,2.183297039277581
-0.9234994687810824,1.9461133971314937
-0.8392161234101067,2.2357162640590147
-0.8976980873779042,2.26402643222504
-0.8266331941750662,2.237223989357642
-0.9568062904207238,2.077455253210446
-0.9894883031367881,1.9571489596566825
-0.9159553854803737,2.2944596779562287
-0.9849172925903814,2.2179757262227153
-0.9649697864083183,1.979855431648105
-0.8204762222027295,2.375011004438168
-0.9368952260886808,2.121461289801178
-0.9061153309582257,2.280151656529585
-0.9491717890645338,1.8322801697312179
-0.9186623859724031,1.8696990441166708
-0.9760968678692437,1.9555504452162686
-0.9806206387300753,1.878002004407558
-0.8551807986633896,2.2368052105727547
-0.9627883252501676,1.9917134764929671
-0.9721976444435244,2.080392147156912
-0.9222264522528574,2.5779644294370594
-0.9372426600118681,1.9812700270475776
-0.7926533725594554,1.8418884286512995
-0.8260373401355864,2.229287858299638
-0.9696559398078153,2.114583019476607
-0.9437120559989419,2.0860290297567414
-0.9326989351847983,2.141499273547448
-0.9043717031492885,1.9163581839590413
-0.969837007423751,2.2504599962162595
-0.9763231174921806,2.2006902906938355
-0.8137723453329061,2.3472249495474413
-0.9817021705165054,1.978444496625443
-0.8219061786075862,2.2032838620440414
-0.9925206342615286,2.122824678273406
-0.8612027323314088,2.179027939587644
-0.9681978854626045,1.905581018145701
-0.8694719348651696,2.0373091783141453
-0.9383073285543767,2.1436898726350377
-0.9108456174368108,2.1237701546834606
-0.9676313100819094,1.7432332531916113
-0.9411953150575949,2.236540763643687
-0.9260320169079266,1.990614844264427
-0.9150744888860921,2.1769664761865157
-0.866691815782837,2.0989015546437355
-0.9626146677411859,1.9802381603447798
-0.9103647987867913,1.9612972636210273
-0.861878549883836,1.9630379458356626
-0.8312510064347058,2.017120865986586
-0.9233320147438274,2.1806849628741602
-0.8898250158589652,2.0877941146657295
-0.7995208589333128,2.43617832947871
-0.9377277575244306,1.995340711010866
-0.7729849161562723,1.9135736582047191
-0.9908671217013278,1.9430194969896513
-0.7830456495708256,2.3926022073802042
-0.7959917422911433,2.348441321016355
-0.8511919934096648,2.1903228579552865
-0.9506182467689025,2.133493526770591
-0.9844447223735916,2.064842150557955
-0.9202050147074232,2.1502621399247794
-0.9563260218283571,2.15535736470352
-0.9817427557051753,2.0186396351163305
-0.7500636022127657,2.2657307539590446
-0.9179342079755366,1.8933405653154416
-0.9237928092498697,2.07840100747434
-0.9848826351983232,1.9866203493663506
-0.9668566080076727,2.0611058651353753
-0.947176797423628,2.046826810553324
-0.9584369079707015,2.1139257432216287
-0.9425357006825947,2.43721055996989
-0.9489717545182258,2.200860920324623
-0.8597861289033067,2.245623384496274
-0.9633929988133113,1.9644371283108417
-0.9462020043698827,1.8405933450696579
-0.918781851913651,1.9948439679598717
-0.8599044067778053,2.2626120423723224
-0.9514879178447004,2.1016485293412552
-0.9334466820460474,1.927404524181647
-0.9931804460566847,2.0296044148096763
-0.9258961306979235,2.2381795517657475
